src	ref	hyp
Hakuna madhara makubwa au majeraha yaliyoripotiwa huko Tonga, lakini nguvu za umeme zilipotea kwa muda, hali ambayo iliripotiwa kuzuia mamlaka ya Tongan kupokea onyo la tsunami lililotolewa na PTWC.	No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.	There have been no reports of major damage or injuries in Tonga, but power was lost for a time, which was reported to have prevented the Tongan government from receiving the tsunami warning issued by PTWC.
Shule kumi na nne katika Hawaii zilizoko au zilizo karibu na mipaka ya pwani zilifungwa siku nzima Jumatano licha ya tahadhari kuondolewa.	Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted.	Fourteen schools in Hawaii, either on or near the coast, were closed all day Tuesday despite the warning being lifted.
Rais wa marekani George W. Bush alikaribisha tangazo hilo.	U.S. President George W. Bush welcomed the announcement.	US President George W. Bush welcomed the announcement.
Msemaji wa Bush Gordon Johndroe alitaja ahadi ya Korea Kaskazini kama “hatua kuu kuelekea lengo la kufikia uondoaji wa kuaminika wa silaha za kinyuklia katika rasi ya Kikorea.”	"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula."""	"Gordon Johndroe, a spokesman for Bush, described North Korea's promise as ""a step in the right direction toward the goal of complete, verifiable, and irreversible denuclearization of the Korean peninsula""."
Dhoruba ya kumi iliyopewa jina ya msimu wa Kimbunga cha Atlantiki, Dhoruba ya Nusutropiki ya Jerry, iliundwa katika Bahari ya Atlantiki leo.	The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.	The 10th named storm of the Atlantic Hurricane season, named Hurricane Jerry, was formed in the Atlantic Ocean today.
Kituo cha Kitaifa cha Vimbunga (NHC) kinasema kwamba wakati huu, Jerry hakitoi tishio kwa ardhi.	The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land.	The National Hurricane Center (NHC) says that, at this time, Jerry is not a threat to land.
Corps of Engineers cha Marekani kilikadiria kwamba inchi 6 za mvua huenda zikabomoa matuta ambayo yaliharibiwa awali.	The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.	The U.S. Corps of Engineers estimates that 6 inches of rain will destroy the roads that were previously damaged.
Wadi ya Tisa, ambayo ilishuhudia mafuriko ya hadi futi 20 kwa kimo wakati wa Kimbunga Katrina, sasa iko kwenye maji yanayofikia kiunoni kwani tuta lililokuwa karibu lilifurika.	The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.	The Tisa River, which saw floods of up to 20 feet during Hurricane Katrina, is now at its lowest level in years because of the drought.
Maji yanamwagika juu ya tuta katika sehemu ya futi 100 upana.	Water is spilling over the levee in a section 100 feet wide.	Water flows over the top of the falls at a height of 100 feet.
Msimamizi wa Commons Adam Cuerden alielezea kufadhaika kwake kuhusu ufutaji huo alipoongea na Wikinews mwezi uliopita.	Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.	Commons administrator Adam Cuerden told WikiNews last month.
"""Yeye [Wales] kimsingi alindanganya tangu mwanzo. Kwanza kwa kufanya kama hii ni kwa sababu za kisheria. Pili, kwa kujifanya alikuwa anatusikiliza, hadi saana yake ifutwe."""	"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion."""	"""He [Wales] has been lying from the beginning. Firstly, because of legal reasons. Secondly, because he was listening to us, and then he betrayed us."""
Hasira ya jamii imesababisha juhudi za sasa za kutayarisha sera kuhusu kadiri ya ngono kwa wavuti ambayo inakaribisha mamilioni ya vyombo vya habari vilivyo na leseni wazi.	The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media.	The public's anger has led to efforts to create a law that regulates pornography on the Internet, which has millions of media outlets with unrestricted access.
Kazi iliyofanywa ilikuwa hasa ya nadharia, lakini programu ilitengenezwa ili kuiga mitazamo iliyofanywa ya galaksi ya Mshale.	The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy.	The work was mainly theoretical, but the program was written to test the hypothesis of the spiral galaxy M31.
Athari ambayo timu ilikuwa ikitafuta ingesababishwa na nguvu za mawimbi baina ya dutu nyeusi za galaksia na dutu nyeusi za Kilimia.	The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter.	The effect that the team was looking for was caused by the magnetic force between the black holes in the galaxy and the black holes in the Milky Way.
Kama vile mwezi unavuta nguvu duniani, na kusababisha mawimbi, vivyo hivyo ndivyo Njia ya Kimaziwa hutia nguvu kwenye giligili la alama ya Mshale.	Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.	Just as the Moon's gravity affects the Earth's tides, so does the Sun's gravity affect the Moon's tides.
Wanasayansi waliweza kuhitimisha kuwa udusi mweusi unaathiri udusi mwingine mweusi kwa njia ile ile ya kawaida.	The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.	Scientists were able to conclude that black holes affect other black holes in the usual way.
Nadharia hii inasema kuwa dutu nyingi yenye giza inayozingira galaksi iko karibu na galaksi kwa aina ya mwangaza, na inatengenezwa kwa chembechembe nyingi ndogo.	This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.	This theory says that many dark nebulae surrounding a galaxy of the same type as our own are made up of many small particles.
Ripoti kwenye televisheni zinaonyesha moshi mweupe unaotoka kwenye mmea huo.	Television reports show white smoke coming from the plant.	The report on television shows the white smoke coming from the plant.
Mamlaka ya ndani inaonya wakaaji walio karibu na mmea huo kukaa ndani, kuzima viyoyozi na kutokunywa maji ya bomba.	Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.	The local authority has warned people living near the plant to stay inside, turn off their air conditioning and not to drink tap water.
Kulingana na shirika la nyuklia la Japan, mionzi, cesiamu na iodini zimetambuliwa kiwandani.	According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.	According to Japan's nuclear agency, radiation, caesium and iodine have been detected at the plant.
Serikali inabashiri kuwa hii inaonyesha kuwa vyombo vinayokuwa na Urani kwenye tovuti vinaweza kuwa vimetoboka na vinavuja.	Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.	The government believes that this shows that the Uranium on the website is fake and has been hacked.
Dk. Tony Moll aligundua Kifua Kikuu Kinachokinza Dawa Kabisa (XDR-TB) katika eneo la KwaZulu-Natal, Afrika Kusini.	Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.	Dr. Tony Moll discovered Multidrug-resistant TB (XDR-TB) in the region of KwaZulu-Natal, South Africa.
"Katika mahojiano, alisema aina mpya ilikuwa ""ya kusumbua sana na ya kutisha kwa sababu ya kiwango cha juu cha kufariki."""	"In an interview, he said the new variant was ""very highly troubling and alarming because of the very high fatality rate."""	"In an interview, he said the new strain was ""very difficult and very scary because of the high mortality rate."""
Huenda baadhi ya wagonjwa waliambukizwa mdudu huyo hospitalini, kama anavyofikiria Dkt. Moll, na angalau wawili walikuwa wafanyakazi hospitalini.	Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers.	Some of the patients may have contracted the virus in the hospital, as Dr. Moll suspects, and at least two of them were hospital staff.
